Year,ARIMA,XGBoost,LSTM
2022,174301.67344747623,179380.66,49651.43
2023,170047.7600915443,179380.66,13743.857
2024,160185.63430908648,179380.66,3804.702
2025,159752.4750107818,179380.66,1053.5599
2026,152448.34626207864,179380.66,292.04834
2027,145956.93158390495,179380.66,81.16479
2028,144603.44451966908,179380.66,21.979376
2029,138641.5215842934,179380.66,4.939559
2030,135988.73491277496,179380.66,0.8602887
2031,134017.118254656,179380.66,0.3273474
2032,129629.54582852934,179380.66,0.2732537
2033,128240.77334394919,179380.66,0.26793408
2034,125909.08228926724,179380.66,0.2674126
2035,123245.00912708833,179380.66,0.2673615
2036,122324.43414206582,179380.66,0.2673565
